ModelNumber;Timestamp;NumEpochs;ValAccuracy;NumParams;NumFiltersPerLayer;DenseLayerSize;LearningRate;DropoutRate;PoolingType;FilterSize;PaddingType;ActivationFunction;Regularization;OptimizationAlgorithm
45;2021-02-03 07:04:22;7;0.14759615063667297;29043;16; 5; 0.005; 0.05; max; 3; same; relu; l2; adam
46;2021-02-03 07:07:04;6;0.07692307978868484;29043;16; 5; 0.005; 0.1; max; 3; same; relu; l2; adam
47;2021-02-03 07:10:22;8;0.1537500023841858;29043;16; 5; 0.005; 0.2; max; 3; same; relu; l2; adam
48;2021-02-03 07:13:24;8;0.15649038553237915;29043;16; 5; 0.005; 0.5; max; 3; same; relu; l2; adam
49;2021-02-03 07:15:32;6;0.2893750071525574;29043;16; 5; 0.001; 0.05; max; 3; same; relu; l2; adam
50;2021-02-03 07:19:27;17;0.2775961458683014;29043;16; 5; 0.001; 0.1; max; 3; same; relu; l2; adam
51;2021-02-03 07:23:45;19;0.1722596138715744;29043;16; 5; 0.001; 0.2; max; 3; same; relu; l2; adam
52;2021-02-03 07:25:19;7;0.16201923787593842;29043;16; 5; 0.001; 0.5; max; 3; same; relu; l2; adam
53;2021-02-03 07:26:52;7;0.30375000834465027;29043;16; 5; 0.0005; 0.05; max; 3; same; relu; l2; adam
54;2021-02-03 07:28:15;6;0.2592788338661194;29043;16; 5; 0.0005; 0.1; max; 3; same; relu; l2; adam
55;2021-02-03 07:29:39;6;0.1675480753183365;29043;16; 5; 0.0005; 0.2; max; 3; same; relu; l2; adam
56;2021-02-03 07:47:23;10;0.17735576629638672;29043;16; 5; 0.0005; 0.5; max; 3; same; relu; l2; adam
57;2021-02-03 07:53:21;17;0.4632692337036133;29043;16; 5; 0.0001; 0.05; max; 3; same; relu; l2; adam
58;2021-02-03 07:56:06;9;0.5039423108100891;29043;16; 5; 0.0001; 0.1; max; 3; same; relu; l2; adam
59;2021-02-03 07:59:01;9;0.431538462638855;29043;16; 5; 0.0001; 0.2; max; 3; same; relu; l2; adam
60;2021-02-03 08:02:09;10;0.17923076450824738;29043;16; 5; 0.0001; 0.5; max; 3; same; relu; l2; adam
61;2021-02-03 08:04:47;6;0.460673063993454;127207;32; 11; 0.01; 0.05; max; 3; same; relu; l2; adam
62;2021-02-03 08:07:09;6;0.3918749988079071;127207;32; 11; 0.01; 0.1; max; 3; same; relu; l2; adam
63;2021-02-03 08:09:54;7;0.414326936006546;127207;32; 11; 0.01; 0.2; max; 3; same; relu; l2; adam
64;2021-02-03 08:14:42;6;0.259086549282074;127207;32; 11; 0.01; 0.5; max; 3; same; relu; l2; adam
