ModelNumber;Timestamp;NumEpochs;ValAccuracy;NumParams;HiddenLayerSizes;LearningRate;DropoutRate;ActivationFunction;Regularization;OptimizationAlgorithm
53;2021-02-02 15:16:08;32;0.7363942265510559;29893;(20,); 0.0005; 0.05; relu; l2; adam
54;2021-02-02 15:17:08;38;0.7139903903007507;29893;(20,); 0.0005; 0.1; relu; l2; adam
55;2021-02-02 15:32:34;11;0.6210576891899109;29893;(20,); 0.0005; 0.2; relu; l2; adam
56;2021-02-02 15:33:12;6;0.44769230484962463;29893;(20,); 0.0005; 0.5; relu; l2; adam
57;2021-02-02 15:34:01;30;0.6997596025466919;29893;(20,); 0.0001; 0.05; relu; l2; adam
58;2021-02-02 15:34:46;28;0.6847596168518066;29893;(20,); 0.0001; 0.1; relu; l2; adam
59;2021-02-02 15:35:19;20;0.640096127986908;29893;(20,); 0.0001; 0.2; relu; l2; adam
60;2021-02-02 15:35:35;10;0.5211538672447205;29893;(20,); 0.0001; 0.5; relu; l2; adam
61;2021-02-02 16:50:42;27;0.6494230628013611;121027;(81,); 0.01; 0.05; relu; l2; adam
62;2021-02-02 16:51:22;21;0.5687500238418579;121027;(81,); 0.01; 0.1; relu; l2; adam
63;2021-02-02 16:51:46;13;0.627548098564148;121027;(81,); 0.01; 0.2; relu; l2; adam
64;2021-02-02 16:52:26;22;0.6157692074775696;121027;(81,); 0.01; 0.5; relu; l2; adam
65;2021-02-02 16:53:02;19;0.7410576939582825;121027;(81,); 0.005; 0.05; relu; l2; adam
66;2021-02-02 17:28:02;19;0.7322115302085876;121027;(81,); 0.005; 0.1; relu; l2; adam
67;2021-02-02 20:13:23;31;0.730096161365509;121027;(81,); 0.005; 0.2; relu; l2; adam
68;2021-02-02 20:14:01;20;0.650865375995636;121027;(81,); 0.005; 0.5; relu; l2; adam
69;2021-02-02 20:14:39;21;0.7646634578704834;121027;(81,); 0.001; 0.05; relu; l2; adam
70;2021-02-02 20:15:34;30;0.7641826868057251;121027;(81,); 0.001; 0.1; relu; l2; adam
71;2021-02-02 20:56:57;20;0.7498557567596436;121027;(81,); 0.001; 0.2; relu; l2; adam
72;2021-02-02 21:17:04;13;0.6680769324302673;121027;(81,); 0.001; 0.5; relu; l2; adam
73;2021-02-02 21:18:09;35;0.7755769491195679;121027;(81,); 0.0005; 0.05; relu; l2; adam
74;2021-02-02 21:18:55;25;0.7631250023841858;121027;(81,); 0.0005; 0.1; relu; l2; adam
75;2021-02-02 21:19:47;29;0.75;121027;(81,); 0.0005; 0.2; relu; l2; adam
76;2021-02-02 21:20:23;20;0.6588461399078369;121027;(81,); 0.0005; 0.5; relu; l2; adam
77;2021-02-02 23:38:55;50;0.7513942122459412;121027;(81,); 0.0001; 0.05; relu; l2; adam
78;2021-02-02 23:40:15;44;0.7467788457870483;121027;(81,); 0.0001; 0.1; relu; l2; adam
79;2021-02-02 23:41:08;29;0.7174999713897705;121027;(81,); 0.0001; 0.2; relu; l2; adam
